agent_id,model_name,own_followed_decisions,other_followed_decisions,no_recommendation_followed_decisions,total_decisions,own_follow_rate,other_follow_rate,no_recommendation_follow_rate
agent_1,gemma4:e4b,79,43,28,150,0.5266666666666666,0.2866666666666667,0.18666666666666668
agent_2,nemotron-3-nano:4b,69,64,17,150,0.46,0.4266666666666667,0.11333333333333333
agent_3,qwen3.5:4b,55,56,39,150,0.36666666666666664,0.37333333333333335,0.26
agent_4,qwen3:8b,43,26,4,73,0.589041095890411,0.3561643835616438,0.0547945205479452
agent_5,qwen3.5:9b,6,16,7,29,0.20689655172413793,0.5517241379310345,0.2413793103448276
