agent_id,model_name,round_num,point_type,avg_energy,std_energy,min_energy,max_energy,n_runs
agent_1,gemma4:e4b,1,round_start,1500.0,0.0,1500.0,1500.0,5
agent_1,gemma4:e4b,2,round_start,1392.9599999999998,11.818381868936182,1373.73,1404.6,5
agent_1,gemma4:e4b,3,round_start,1374.958,211.12163714314067,1265.52,1752.0499999999997,5
agent_1,gemma4:e4b,4,round_start,1460.154,342.8991785204509,1165.29,1989.23,5
agent_1,gemma4:e4b,5,round_start,1698.366,502.99105318086896,1073.4,2253.0999999999995,5
agent_1,gemma4:e4b,6,round_start,1748.0759999999998,410.9596784113982,1046.0500000000002,2092.0899999999997,5
agent_1,gemma4:e4b,7,round_start,1979.0759999999998,580.4236550830781,1132.0500000000002,2616.57,5
agent_1,gemma4:e4b,8,round_start,1868.784,582.922452243864,1018.1400000000003,2503.98,5
agent_1,gemma4:e4b,9,round_start,1832.77,750.1171178889332,915.0600000000004,2896.1,5
agent_1,gemma4:e4b,10,round_start,1726.8160000000003,747.3898531422539,817.4100000000004,2797.31,5
agent_1,gemma4:e4b,11,round_start,1909.238,473.90155546273525,1463.2700000000004,2699.36,5
agent_1,gemma4:e4b,12,round_start,1971.0459999999998,367.4382922750428,1548.5700000000006,2511.74,5
agent_1,gemma4:e4b,13,round_start,2038.7580000000003,357.3263626154665,1436.1900000000005,2349.32,5
agent_1,gemma4:e4b,14,round_start,2209.362,532.8755790707621,1291.3800000000003,2589.92,5
agent_1,gemma4:e4b,15,round_start,2343.1820000000002,708.2570454079505,1176.9900000000005,3107.7499999999995,5
agent_1,gemma4:e4b,16,round_start,2184.9620000000004,699.6033376992993,1024.4100000000005,2911.6099999999997,5
agent_1,gemma4:e4b,17,round_start,2217.1180000000004,667.6151725133271,1112.8700000000006,2796.4699999999993,5
agent_1,gemma4:e4b,18,round_start,2384.4980000000005,667.2363579871827,1248.0600000000009,3021.360000000001,5
agent_1,gemma4:e4b,19,round_start,2413.2300000000005,811.4773101572218,1100.1600000000008,3242.1600000000008,5
agent_1,gemma4:e4b,20,round_start,2567.2640000000006,1064.0884013464297,997.8300000000008,3942.650000000001,5
agent_1,gemma4:e4b,21,round_start,2838.5860000000007,1077.0022976437886,1064.500000000001,3825.830000000001,5
agent_1,gemma4:e4b,22,round_start,2857.1420000000007,1267.510997455249,954.610000000001,4432.540000000001,5
agent_1,gemma4:e4b,23,round_start,2875.4560000000006,1184.6736086492347,1029.000000000001,4323.130000000001,5
agent_1,gemma4:e4b,24,round_start,2881.7720000000004,1423.647428919815,908.3400000000009,4919.22,5
agent_1,gemma4:e4b,25,round_start,2763.3920000000007,1431.260991912376,776.040000000001,4809.12,5
agent_1,gemma4:e4b,26,round_start,2804.414,1162.4974183541221,1432.700000000001,4651.32,5
agent_1,gemma4:e4b,27,round_start,2818.7900000000004,1167.2902560417438,1271.5700000000008,4538.01,5
agent_1,gemma4:e4b,28,round_start,2791.4580000000005,1348.0788935629844,1128.0500000000009,4879.670000000001,5
agent_1,gemma4:e4b,29,round_start,2777.2960000000003,1360.8744416844636,997.8500000000008,4732.580000000001,5
agent_1,gemma4:e4b,30,round_start,2929.722,1652.1895384973243,899.1500000000009,5426.380000000001,5
agent_1,gemma4:e4b,31,final,3004.1160000000004,1692.7248798845014,774.7400000000008,5544.830000000001,5
agent_2,nemotron-3-nano:4b,1,round_start,1500.0,0.0,1500.0,1500.0,5
agent_2,nemotron-3-nano:4b,2,round_start,1379.5240000000001,114.54125819982934,1204.5000000000002,1509.47,5
agent_2,nemotron-3-nano:4b,3,round_start,1313.708,71.6346551607531,1209.3899999999999,1408.67,5
agent_2,nemotron-3-nano:4b,4,round_start,1338.718,235.065360846723,1073.7299999999998,1669.9400000000003,5
agent_2,nemotron-3-nano:4b,5,round_start,1299.3980000000001,220.99692728633138,1002.8399999999997,1581.6800000000003,5
agent_2,nemotron-3-nano:4b,6,round_start,1276.578,187.6393686570066,1102.9500000000003,1575.7800000000002,5
agent_2,nemotron-3-nano:4b,7,round_start,1350.514,416.17393176411247,862.53,2004.7700000000002,5
agent_2,nemotron-3-nano:4b,8,round_start,1590.348,598.6030851657885,779.7799999999999,2413.66,5
agent_2,nemotron-3-nano:4b,9,round_start,1497.1779999999999,618.0579883959108,559.64,2263.4199999999996,5
agent_2,nemotron-3-nano:4b,10,round_start,1667.886,520.6712556690643,951.1299999999999,2193.6699999999996,5
agent_2,nemotron-3-nano:4b,11,round_start,1614.0039999999997,495.28327720608536,909.0399999999998,2121.939999999999,5
agent_2,nemotron-3-nano:4b,12,round_start,1614.2259999999999,596.4128869583554,835.6899999999998,2293.459999999999,5
agent_2,nemotron-3-nano:4b,13,round_start,1515.7359999999999,606.5632756192877,779.7099999999998,2230.7599999999993,5
agent_2,nemotron-3-nano:4b,14,round_start,1379.3139999999999,549.5273941124317,696.0399999999998,2137.189999999999,5
agent_2,nemotron-3-nano:4b,15,round_start,1477.8039999999996,565.0128451902664,832.1099999999999,2069.1199999999994,5
agent_2,nemotron-3-nano:4b,16,round_start,1471.7699999999998,494.6081557657535,778.68,1947.4099999999994,5
agent_2,nemotron-3-nano:4b,17,round_start,1416.0939999999998,438.52729359755926,882.41,1892.7799999999993,5
agent_2,nemotron-3-nano:4b,18,round_start,1531.1,603.1845251247745,817.16,2240.5299999999993,5
agent_2,nemotron-3-nano:4b,19,round_start,1544.2299999999998,384.7593289967115,1213.7100000000005,2159.829999999999,5
agent_2,nemotron-3-nano:4b,20,round_start,1441.7459999999996,357.11248680212736,1214.3800000000003,2068.449999999999,5
agent_2,nemotron-3-nano:4b,21,round_start,1471.8039999999996,399.3862280800371,1156.63,2141.2699999999986,5
agent_2,nemotron-3-nano:4b,22,round_start,1498.4559999999997,452.2448472674945,1058.83,1989.3499999999992,5
agent_2,nemotron-3-nano:4b,23,round_start,1601.7819999999997,302.40241900487456,1203.1799999999998,1901.7199999999993,5
agent_2,nemotron-3-nano:4b,24,round_start,1641.1119999999999,485.35718658530186,1135.6499999999999,2344.989999999999,5
agent_2,nemotron-3-nano:4b,25,round_start,1577.6119999999999,582.1305380840274,1062.51,2480.699999999999,5
agent_2,nemotron-3-nano:4b,26,round_start,1724.4879999999998,655.7238531348386,982.8,2648.679999999999,5
agent_2,nemotron-3-nano:4b,27,round_start,1636.98,617.4436480359966,904.41,2455.5699999999993,5
agent_2,nemotron-3-nano:4b,28,round_start,1738.2159999999997,560.0125603323548,1085.5100000000004,2529.499999999999,5
agent_2,nemotron-3-nano:4b,29,round_start,1765.0299999999995,467.0526465506855,1148.4600000000003,2462.6299999999987,5
agent_2,nemotron-3-nano:4b,30,round_start,1815.5219999999997,656.6959358180918,1078.3700000000003,2868.249999999999,5
agent_2,nemotron-3-nano:4b,31,final,1877.9419999999998,544.7188227608805,1468.9600000000003,2804.649999999999,5
agent_3,qwen3.5:4b,1,round_start,1500.0,0.0,1500.0,1500.0,5
agent_3,qwen3.5:4b,2,round_start,1699.618,360.24343584581817,1363.5300000000002,2226.8900000000003,5
agent_3,qwen3.5:4b,3,round_start,1802.5620000000004,572.6474003433528,1261.52,2616.4000000000005,5
agent_3,qwen3.5:4b,4,round_start,1736.2760000000003,463.61913585399003,1413.0800000000002,2529.190000000001,5
agent_3,qwen3.5:4b,5,round_start,1836.586,787.0623301429188,1336.7300000000002,3184.710000000001,5
agent_3,qwen3.5:4b,6,round_start,2003.4740000000006,1090.2448173139833,1295.14,3883.700000000001,5
agent_3,qwen3.5:4b,7,round_start,2053.7340000000004,1171.6918982522673,1218.67,3990.6700000000014,5
agent_3,qwen3.5:4b,8,round_start,2212.4460000000004,1098.6737127691738,1133.5000000000002,3690.490000000001,5
agent_3,qwen3.5:4b,9,round_start,2065.0820000000003,923.6015466476874,1057.8400000000001,3106.810000000001,5
agent_3,qwen3.5:4b,10,round_start,2026.0980000000004,881.2895680308492,1176.72,3030.880000000001,5
agent_3,qwen3.5:4b,11,round_start,2191.184,961.2096803663604,1312.94,3541.710000000001,5
agent_3,qwen3.5:4b,12,round_start,2531.9000000000005,1044.7099004508384,1403.1700000000003,3720.940000000001,5
agent_3,qwen3.5:4b,13,round_start,2606.1760000000004,1285.3304427189146,1487.6100000000004,4452.030000000001,5
agent_3,qwen3.5:4b,14,round_start,2603.3340000000003,1195.3237185507533,1610.3900000000003,4358.280000000001,5
agent_3,qwen3.5:4b,15,round_start,2522.8920000000003,1267.1294420539678,1264.5200000000002,4264.62,5
agent_3,qwen3.5:4b,16,round_start,2457.0920000000006,1225.6939727843978,1068.5000000000002,4187.58,5
agent_3,qwen3.5:4b,17,round_start,2571.406,1479.1174603560053,1178.38,4903.879999999999,5
agent_3,qwen3.5:4b,18,round_start,2626.29,1417.43126992105,1282.8899999999999,4811.12,5
agent_3,qwen3.5:4b,19,round_start,2737.8540000000003,1403.1056337567745,1249.1299999999999,4711.3099999999995,5
agent_3,qwen3.5:4b,20,round_start,2644.1640000000007,1429.1314293059265,1227.72,4564.58,5
agent_3,qwen3.5:4b,21,round_start,2807.0640000000008,1483.5157043590748,1113.24,4490.360000000001,5
agent_3,qwen3.5:4b,22,round_start,2602.0280000000007,1376.1442883542416,1134.52,4027.8800000000015,5
agent_3,qwen3.5:4b,23,round_start,2748.0080000000007,1450.7126346971688,1048.9,4375.480000000001,5
agent_3,qwen3.5:4b,24,round_start,2774.9720000000007,1486.8696026619152,965.5900000000001,4334.490000000002,5
agent_3,qwen3.5:4b,25,round_start,2773.8460000000005,1528.6451357918233,879.5200000000002,4247.760000000002,5
agent_3,qwen3.5:4b,26,round_start,2796.8600000000006,1513.732119415454,1073.2200000000003,4654.850000000002,5
agent_3,qwen3.5:4b,27,round_start,2766.286000000001,1637.2258013267449,990.2900000000003,5052.460000000002,5
agent_3,qwen3.5:4b,28,round_start,2864.8880000000004,1671.5604040297205,1092.0700000000004,5211.590000000002,5
agent_3,qwen3.5:4b,29,round_start,2971.8160000000003,1667.0082268033357,1093.8800000000003,5145.3200000000015,5
agent_3,qwen3.5:4b,30,round_start,3024.7680000000005,1767.991139109583,1012.1900000000003,5193.460000000001,5
agent_3,qwen3.5:4b,31,final,3143.146,1983.856325790757,1088.5599999999997,5799.720000000001,5
agent_4,qwen3:8b,1,round_start,1500.0,0.0,1500.0,1500.0,5
agent_4,qwen3:8b,2,round_start,1521.672,304.29560910404206,1192.4499999999998,1814.3799999999999,5
agent_4,qwen3:8b,3,round_start,1523.6039999999998,676.2012380793159,940.6499999999997,2264.1899999999996,5
agent_4,qwen3:8b,4,round_start,1187.798,684.269874187078,587.1100000000004,1946.21,5
agent_4,qwen3:8b,5,round_start,941.3919999999998,570.5226114887997,478.67000000000013,1650.1100000000001,5
agent_4,qwen3:8b,6,round_start,952.0439999999999,823.9462985110131,204.7400000000001,1927.0499999999993,5
agent_4,qwen3:8b,7,round_start,855.8639999999998,897.5060038127879,0.0,1893.0800000000002,5
agent_4,qwen3:8b,8,round_start,810.6579999999998,760.4009314302552,0.0,1507.4300000000003,5
agent_4,qwen3:8b,9,round_start,745.5019999999998,717.0144395477679,0.0,1589.5299999999997,5
agent_4,qwen3:8b,10,round_start,782.012,728.5229332491873,0.0,1468.3300000000004,5
agent_4,qwen3:8b,11,round_start,671.2539999999999,656.0513584926107,0.0,1498.79,5
agent_4,qwen3:8b,12,round_start,735.9099999999999,806.0149767839303,0.0,1717.85,5
agent_4,qwen3:8b,13,round_start,791.4499999999998,830.0891773177144,0.0,1985.1,5
agent_4,qwen3:8b,14,round_start,531.4539999999998,649.8878946249115,0.0,1517.9099999999999,5
agent_4,qwen3:8b,15,round_start,381.47200000000004,578.1364395365509,0.0,1304.08,5
agent_4,qwen3:8b,16,round_start,415.51000000000005,575.41413634008,0.0,1160.3100000000002,5
agent_4,qwen3:8b,17,round_start,306.29600000000005,423.1289433848742,0.0,844.8700000000002,5
agent_4,qwen3:8b,18,round_start,325.95000000000005,555.0752122010134,0.0,1281.5700000000002,5
agent_4,qwen3:8b,19,round_start,397.48400000000004,766.3496917400046,0.0,1756.67,5
agent_4,qwen3:8b,20,round_start,286.854,641.4250436177247,0.0,1434.27,5
agent_4,qwen3:8b,21,round_start,204.43600000000004,457.13279304814705,0.0,1022.1800000000002,5
agent_4,qwen3:8b,22,round_start,237.41200000000003,530.8693706741801,0.0,1187.0600000000002,5
agent_4,qwen3:8b,23,round_start,187.24800000000002,418.69925665088067,0.0,936.2400000000001,5
agent_4,qwen3:8b,24,round_start,133.87600000000003,299.3558365557619,0.0,669.3800000000002,5
agent_4,qwen3:8b,25,round_start,89.49000000000004,200.10572330645627,0.0,447.4500000000002,5
agent_4,qwen3:8b,26,round_start,87.95800000000006,196.6800671649266,0.0,439.79000000000025,5
agent_4,qwen3:8b,27,round_start,68.39200000000005,152.92916111716573,0.0,341.96000000000026,5
agent_4,qwen3:8b,28,round_start,40.0,89.44271909999158,0.0,200.0,5
agent_4,qwen3:8b,29,round_start,0.0,0.0,0.0,0.0,5
agent_4,qwen3:8b,30,round_start,0.0,0.0,0.0,0.0,5
agent_4,qwen3:8b,31,final,0.0,0.0,0.0,0.0,5
agent_5,qwen3.5:9b,1,round_start,1500.0,0.0,1500.0,1500.0,5
agent_5,qwen3.5:9b,2,round_start,1402.304,511.08605662843115,712.0200000000002,2117.08,5
agent_5,qwen3.5:9b,3,round_start,1111.83,556.8619121020937,612.7100000000004,2013.72,5
agent_5,qwen3.5:9b,4,round_start,811.9399999999999,610.9038103908013,0.0,1643.5600000000002,5
agent_5,qwen3.5:9b,5,round_start,668.914,639.7618394215148,0.0,1403.4100000000003,5
agent_5,qwen3.5:9b,6,round_start,537.62,579.2189720649695,0.0,1385.4199999999998,5
agent_5,qwen3.5:9b,7,round_start,276.596,308.51495219843065,0.0,718.1699999999998,5
agent_5,qwen3.5:9b,8,round_start,75.28399999999996,168.34014161809407,0.0,376.4199999999998,5
agent_5,qwen3.5:9b,9,round_start,0.0,0.0,0.0,0.0,5
agent_5,qwen3.5:9b,10,round_start,0.0,0.0,0.0,0.0,5
agent_5,qwen3.5:9b,11,round_start,0.0,0.0,0.0,0.0,5
agent_5,qwen3.5:9b,12,round_start,0.0,0.0,0.0,0.0,5
agent_5,qwen3.5:9b,13,round_start,0.0,0.0,0.0,0.0,5
agent_5,qwen3.5:9b,14,round_start,0.0,0.0,0.0,0.0,5
agent_5,qwen3.5:9b,15,round_start,0.0,0.0,0.0,0.0,5
agent_5,qwen3.5:9b,16,round_start,0.0,0.0,0.0,0.0,5
agent_5,qwen3.5:9b,17,round_start,0.0,0.0,0.0,0.0,5
agent_5,qwen3.5:9b,18,round_start,0.0,0.0,0.0,0.0,5
agent_5,qwen3.5:9b,19,round_start,0.0,0.0,0.0,0.0,5
agent_5,qwen3.5:9b,20,round_start,0.0,0.0,0.0,0.0,5
agent_5,qwen3.5:9b,21,round_start,0.0,0.0,0.0,0.0,5
agent_5,qwen3.5:9b,22,round_start,0.0,0.0,0.0,0.0,5
agent_5,qwen3.5:9b,23,round_start,0.0,0.0,0.0,0.0,5
agent_5,qwen3.5:9b,24,round_start,0.0,0.0,0.0,0.0,5
agent_5,qwen3.5:9b,25,round_start,0.0,0.0,0.0,0.0,5
agent_5,qwen3.5:9b,26,round_start,0.0,0.0,0.0,0.0,5
agent_5,qwen3.5:9b,27,round_start,0.0,0.0,0.0,0.0,5
agent_5,qwen3.5:9b,28,round_start,0.0,0.0,0.0,0.0,5
agent_5,qwen3.5:9b,29,round_start,0.0,0.0,0.0,0.0,5
agent_5,qwen3.5:9b,30,round_start,0.0,0.0,0.0,0.0,5
agent_5,qwen3.5:9b,31,final,0.0,0.0,0.0,0.0,5
