agent_id,model_name,round_num,point_type,avg_energy,std_energy,min_energy,max_energy,n_runs
agent_1,gemma4:e4b,1,round_start,1500.0,0.0,1500.0,1500.0,5
agent_1,gemma4:e4b,2,round_start,1610.768,231.1901697088352,1438.17,1873.3400000000001,5
agent_1,gemma4:e4b,3,round_start,1624.146,393.5494436916408,1324.65,2254.33,5
agent_1,gemma4:e4b,4,round_start,1684.8439999999998,327.87154143048156,1271.55,2150.3199999999997,5
agent_1,gemma4:e4b,5,round_start,1777.8239999999998,410.529026415916,1411.85,2252.68,5
agent_1,gemma4:e4b,6,round_start,1955.024,769.8039518150059,1337.93,2901.1,5
agent_1,gemma4:e4b,7,round_start,2157.1040000000003,885.8317235965305,1280.99,3384.44,5
agent_1,gemma4:e4b,8,round_start,2103.682,829.3488057325459,1206.89,3257.12,5
agent_1,gemma4:e4b,9,round_start,2113.056,752.812816030652,1339.93,3177.9500000000003,5
agent_1,gemma4:e4b,10,round_start,2129.9260000000004,943.1641294228704,1274.41,3604.9900000000007,5
agent_1,gemma4:e4b,11,round_start,2166.346,902.1708716368538,1435.2700000000002,3626.5700000000006,5
agent_1,gemma4:e4b,12,round_start,2132.754,839.5326594481006,1365.8500000000001,3478.310000000001,5
agent_1,gemma4:e4b,13,round_start,2312.96,922.3066963868366,1285.5700000000002,3402.860000000001,5
agent_1,gemma4:e4b,14,round_start,2221.478,924.6714377388329,1216.5400000000002,3337.070000000001,5
agent_1,gemma4:e4b,15,round_start,2308.8320000000003,872.5887192257304,1337.3100000000002,3249.1400000000012,5
agent_1,gemma4:e4b,16,round_start,2374.306,917.0148452069906,1369.9600000000003,3675.730000000001,5
agent_1,gemma4:e4b,17,round_start,2363.3480000000004,829.6912327908499,1510.4,3608.620000000001,5
agent_1,gemma4:e4b,18,round_start,2381.4120000000003,869.6279477857186,1597.7400000000002,3764.9300000000007,5
agent_1,gemma4:e4b,19,round_start,2515.9860000000003,1061.2729726276839,1529.2200000000003,3936.330000000001,5
agent_1,gemma4:e4b,20,round_start,2604.322,861.9074695522721,1736.87,3787.9200000000005,5
agent_1,gemma4:e4b,21,round_start,3024.5700000000006,817.1166244790281,2174.74,4192.460000000001,5
agent_1,gemma4:e4b,22,round_start,3032.332000000001,711.420516726922,2238.7900000000004,4112.750000000002,5
agent_1,gemma4:e4b,23,round_start,3206.544000000001,789.0064037636205,2581.6299999999997,4543.510000000002,5
agent_1,gemma4:e4b,24,round_start,3190.226000000001,897.8803443833713,2522.9499999999994,4731.020000000002,5
agent_1,gemma4:e4b,25,round_start,3200.112000000001,835.1959876699609,2491.4100000000008,4648.040000000003,5
agent_1,gemma4:e4b,26,round_start,3216.880000000001,762.1225113785852,2425.2600000000007,4487.810000000003,5
agent_1,gemma4:e4b,27,round_start,3407.790000000001,671.3544123635455,2854.3100000000004,4427.210000000004,5
agent_1,gemma4:e4b,28,round_start,3382.688000000001,652.7926139058268,2768.4500000000003,4354.280000000004,5
agent_1,gemma4:e4b,29,round_start,3398.184000000001,686.9675950363321,2613.8,4281.230000000004,5
agent_1,gemma4:e4b,30,round_start,3469.970000000001,819.0802044977052,2715.8,4725.070000000004,5
agent_1,gemma4:e4b,31,final,3526.2520000000013,728.0574442789539,2649.38,4634.620000000004,5
agent_2,nemotron-3-nano:4b,1,round_start,1500.0,0.0,1500.0,1500.0,5
agent_2,nemotron-3-nano:4b,2,round_start,1552.0459999999998,112.74103458812151,1448.7,1676.48,5
agent_2,nemotron-3-nano:4b,3,round_start,1880.382,317.42642504996326,1442.28,2333.32,5
agent_2,nemotron-3-nano:4b,4,round_start,2073.212,668.1302027823618,1379.01,3102.0,5
agent_2,nemotron-3-nano:4b,5,round_start,2256.946,948.453532984089,1534.04,3840.05,5
agent_2,nemotron-3-nano:4b,6,round_start,2307.6839999999997,873.2869138948552,1499.4499999999998,3682.55,5
agent_2,nemotron-3-nano:4b,7,round_start,2283.426,907.3373492422762,1468.61,3623.4500000000003,5
agent_2,nemotron-3-nano:4b,8,round_start,2242.158,826.4168642519343,1412.4499999999998,3411.2,5
agent_2,nemotron-3-nano:4b,9,round_start,2274.2779999999993,803.6955802852224,1513.2499999999995,3415.99,5
agent_2,nemotron-3-nano:4b,10,round_start,2305.821999999999,770.341872398223,1480.9199999999996,3392.2299999999996,5
agent_2,nemotron-3-nano:4b,11,round_start,2259.5779999999995,813.0464918564003,1403.3699999999997,3355.3299999999995,5
agent_2,nemotron-3-nano:4b,12,round_start,2350.6119999999996,921.7513326651605,1348.0199999999995,3336.2799999999993,5
agent_2,nemotron-3-nano:4b,13,round_start,2325.0819999999994,928.0878741638635,1281.5699999999995,3297.9499999999994,5
agent_2,nemotron-3-nano:4b,14,round_start,2288.1339999999996,1046.4871110195288,1162.5299999999995,3513.4799999999996,5
agent_2,nemotron-3-nano:4b,15,round_start,2421.2559999999994,950.7364803298545,996.3599999999996,3474.1199999999994,5
agent_2,nemotron-3-nano:4b,16,round_start,2605.486,1197.4826219949919,947.5999999999996,4225.28,5
agent_2,nemotron-3-nano:4b,17,round_start,2749.5639999999994,1248.9361456976096,1097.1999999999994,4178.3,5
agent_2,nemotron-3-nano:4b,18,round_start,2869.9459999999995,1084.0659516745282,1252.1399999999992,3975.14,5
agent_2,nemotron-3-nano:4b,19,round_start,2964.5399999999995,1199.3562638348958,1202.6699999999994,4008.109999999999,5
agent_2,nemotron-3-nano:4b,20,round_start,2930.669999999999,1319.4487944213672,1016.5799999999994,4059.7899999999995,5
agent_2,nemotron-3-nano:4b,21,round_start,3149.892,1225.5128034296501,1178.2699999999993,4178.089999999999,5
agent_2,nemotron-3-nano:4b,22,round_start,3452.0299999999997,1500.5347464820672,1141.8499999999992,4822.33,5
