run_id,run_dir,experiment,seed,max_rounds,num_jobs,model_size_exponent,prompt_mode,use_votes,enable_sabotage
run_1,C:\Users\Lucas\Desktop\Bachelor_final\NEWEST_RESULTS\comp_no_discussion\exponent_0.5\run_1,comp,12345,30,12,0.5,,,
run_2,C:\Users\Lucas\Desktop\Bachelor_final\NEWEST_RESULTS\comp_no_discussion\exponent_0.5\run_2,comp,19284,30,12,0.5,,,
run_3,C:\Users\Lucas\Desktop\Bachelor_final\NEWEST_RESULTS\comp_no_discussion\exponent_0.5\run_3,comp,47309,30,12,0.5,,,
run_4,C:\Users\Lucas\Desktop\Bachelor_final\NEWEST_RESULTS\comp_no_discussion\exponent_0.5\run_4,comp,98765,30,12,0.5,,,
run_5,C:\Users\Lucas\Desktop\Bachelor_final\NEWEST_RESULTS\comp_no_discussion\exponent_0.5\run_5,comp,42,30,12,0.5,,,
