agent_id,model_name,job_difficulty,attempted,succeeded,success_rate_pooled,avg_success_rate_per_run,std_success_rate_per_run,n_runs_with_attempt
agent_1,gemma4:e4b,easy,7,6,0.8571428571428571,0.9333333333333332,0.14907119849998604,5
agent_1,gemma4:e4b,hard,74,17,0.22972972972972974,0.17884057971014494,0.13157153606737892,5
agent_1,gemma4:e4b,medium,15,8,0.5333333333333333,0.6333333333333333,0.375462677535627,5
agent_2,nemotron-3-nano:4b,easy,21,10,0.47619047619047616,0.41999999999999993,0.2662496739695448,5
agent_2,nemotron-3-nano:4b,hard,74,14,0.1891891891891892,0.18525252525252525,0.05467903583178776,5
agent_2,nemotron-3-nano:4b,medium,45,25,0.5555555555555556,0.5624242424242424,0.07134417157177973,5
agent_3,qwen3.5:4b,easy,54,39,0.7222222222222222,0.6846953046953047,0.1665425513817328,5
agent_3,qwen3.5:4b,hard,35,9,0.2571428571428571,0.2246031746031746,0.17131646834301364,5
agent_3,qwen3.5:4b,medium,39,15,0.38461538461538464,0.38722222222222225,0.19762868912542048,5
agent_4,qwen3:8b,easy,9,7,0.7777777777777778,0.7333333333333333,0.4346134936801766,5
agent_4,qwen3:8b,hard,39,16,0.41025641025641024,0.202,0.23026072179162474,5
agent_4,qwen3:8b,medium,23,17,0.7391304347826086,0.6466666666666667,0.16431676725154987,5
agent_5,qwen3.5:9b,easy,29,19,0.6551724137931034,0.6583333333333333,0.11931517552730297,5
agent_5,qwen3.5:9b,hard,6,2,0.3333333333333333,0.16666666666666666,0.2886751345948129,3
agent_5,qwen3.5:9b,medium,8,5,0.625,0.625,0.47871355387816905,4
