voter_agent_id,voter_model_name,avg_other_only_collision_recommendation_events,total_other_only_collision_recommendation_events,avg_other_only_rounds_with_collision_recommendation,avg_other_only_excess_agents_assigned_to_colliding_jobs,n_runs
agent_1,gemma4:e4b,0.0,0,0.0,0.0,5
agent_2,nemotron-3-nano:4b,0.8,4,0.8,0.8,5
agent_3,qwen3.5:4b,0.6,3,0.6,0.6,5
agent_4,qwen3:8b,0.4,2,0.4,0.4,5
agent_5,qwen3.5:9b,0.0,0,0.0,0.0,5
