agent_id,model_name,avg_donations_made,std_donations_made,total_donations_made,avg_energy_donated_per_run,std_energy_donated_per_run,total_energy_donated,avg_energy_per_donation,std_energy_per_donation,n_runs
agent_1,gemma4:e4b,4.8,1.7888543819998317,24,950.95,485.4688699597534,4754.75,192.49662857142857,41.07396167048954,5
agent_2,nemotron-3-nano:4b,1.6666666666666667,0.5773502691896257,5,233.33333333333334,28.867513459481287,700.0,150.0,43.30127018922193,3
agent_3,qwen3.5:4b,2.25,1.2583057392117916,9,537.5,359.1076904402541,2150.0,262.5,179.6988221070652,4
agent_4,qwen3:8b,1.5,1.0,6,97.52250000000001,93.21061469417883,390.09000000000003,97.52250000000001,93.21061469417883,4
