agent_id,model_name,round_num,point_type,avg_energy,std_energy,min_energy,max_energy,n_runs
agent_1,gemma4:e4b,1,round_start,1500.0,0.0,1500.0,1500.0,5
agent_1,gemma4:e4b,2,round_start,1529.842,337.88948973000026,1348.53,2132.18,5
agent_1,gemma4:e4b,3,round_start,1409.2,352.6708233608216,1185.8700000000001,2034.5599999999995,5
agent_1,gemma4:e4b,4,round_start,1442.9360000000001,463.5323791602912,1023.0600000000001,2008.4300000000003,5
agent_1,gemma4:e4b,5,round_start,1584.8139999999999,640.1353239198723,955.29,2523.0099999999998,5
agent_1,gemma4:e4b,6,round_start,1778.9759999999999,936.7950852667833,863.91,3200.8799999999997,5
agent_1,gemma4:e4b,7,round_start,1841.6159999999995,1194.62271537084,760.14,3879.229999999999,5
agent_1,gemma4:e4b,8,round_start,1856.0399999999997,1239.0270232928735,661.38,3765.559999999999,5
agent_1,gemma4:e4b,9,round_start,1642.9099999999999,1211.8752231768744,495.29999999999995,3636.8899999999994,5
agent_1,gemma4:e4b,10,round_start,1587.224,1078.8856666162542,753.2300000000001,3407.629999999999,5
agent_1,gemma4:e4b,11,round_start,1643.334,989.0261773229257,723.14,3321.859999999999,5
agent_1,gemma4:e4b,12,round_start,1495.586,1013.7258584696353,606.08,3230.269999999999,5
agent_1,gemma4:e4b,13,round_start,1356.9199999999998,1023.7938134458515,478.93999999999994,3106.6099999999988,5
agent_1,gemma4:e4b,14,round_start,1441.066,918.2062343123132,785.49,2969.3599999999988,5
agent_1,gemma4:e4b,15,round_start,1407.482,884.206487773076,584.8100000000009,2792.4399999999987,5
agent_1,gemma4:e4b,16,round_start,1225.8859999999997,778.8781517862718,458.18000000000086,2413.9299999999985,5
agent_1,gemma4:e4b,17,round_start,1105.346,767.09774881041,323.1500000000009,2265.6699999999987,5
agent_1,gemma4:e4b,18,round_start,1035.388,893.1345747254434,134.4100000000009,2174.9499999999985,5
agent_1,gemma4:e4b,19,round_start,929.7919999999997,895.3083529544438,0.0,2055.459999999998,5
agent_1,gemma4:e4b,20,round_start,973.5719999999998,1113.139034563966,0.0,2663.8199999999983,5
agent_1,gemma4:e4b,21,round_start,837.6919999999997,978.5983414404495,0.0,2289.789999999998,5
agent_1,gemma4:e4b,22,round_start,966.1159999999998,1232.8102990038649,0.0,2972.9099999999985,5
agent_1,gemma4:e4b,23,round_start,975.0159999999998,1343.4995802864987,0.0,3233.2299999999987,5
agent_1,gemma4:e4b,24,round_start,1096.8719999999998,1325.9975947451783,0.0,3067.269999999998,5
agent_1,gemma4:e4b,25,round_start,1293.9559999999997,1556.733333194866,0.0,3761.339999999998,5
agent_1,gemma4:e4b,26,round_start,1344.3259999999998,1815.7879619823448,0.0,4404.619999999998,5
agent_1,gemma4:e4b,27,round_start,1254.1019999999996,1563.2740197482965,0.0,3828.4799999999977,5
agent_1,gemma4:e4b,28,round_start,1335.0819999999997,1859.9868704160242,0.0,4519.549999999997,5
agent_1,gemma4:e4b,29,round_start,1217.5319999999997,1745.726805178862,0.0,4226.519999999998,5
agent_1,gemma4:e4b,30,round_start,1226.5659999999996,1522.0188950798201,0.0,3644.3799999999974,5
agent_1,gemma4:e4b,31,final,1420.7759999999996,1766.6030724047766,0.0,4310.489999999998,5
agent_2,nemotron-3-nano:4b,1,round_start,1500.0,0.0,1500.0,1500.0,5
agent_2,nemotron-3-nano:4b,2,round_start,1445.3319999999999,113.17601101823648,1314.8400000000001,1627.61,5
agent_2,nemotron-3-nano:4b,3,round_start,1304.4279999999999,143.8587844728294,1210.9499999999998,1559.7199999999998,5
agent_2,nemotron-3-nano:4b,4,round_start,1352.108,325.3150321918741,1096.2299999999998,1894.22,5
agent_2,nemotron-3-nano:4b,5,round_start,1408.128,691.525075590177,968.0999999999999,2623.9,5
agent_2,nemotron-3-nano:4b,6,round_start,1476.518,690.2824152982604,733.3499999999999,2545.5099999999998,5
agent_2,nemotron-3-nano:4b,7,round_start,1661.766,728.3535694152945,668.7299999999999,2608.59,5
agent_2,nemotron-3-nano:4b,8,round_start,1624.1559999999997,956.774742836578,588.5699999999998,2708.72,5
agent_2,nemotron-3-nano:4b,9,round_start,1777.3199999999997,1346.8164813551994,381.92999999999984,3248.48,5
agent_2,nemotron-3-nano:4b,10,round_start,1912.646,1401.257720524672,328.5899999999998,3598.5899999999997,5
agent_2,nemotron-3-nano:4b,11,round_start,1781.45,1444.278844025627,172.7399999999998,3509.4,5
agent_2,nemotron-3-nano:4b,12,round_start,1818.7,1224.6715668496597,317.6899999999998,3253.8,5
agent_2,nemotron-3-nano:4b,13,round_start,1778.0760000000002,1098.829929643346,427.05999999999983,3183.8400000000006,5
agent_2,nemotron-3-nano:4b,14,round_start,1616.5120000000002,1208.1887588121322,0.0,3101.4600000000005,5
agent_2,nemotron-3-nano:4b,15,round_start,1588.662,1095.885594448618,350.0,3008.5200000000004,5
