agent_id,model_name,avg_donations_received,std_donations_received,total_donations_received,avg_energy_received_per_run,total_energy_received,n_runs
agent_2,nemotron-3-nano:4b,2.0,,2,450.0,450.0,1
agent_3,qwen3.5:4b,1.0,,1,44.86,44.86,1
agent_4,qwen3:8b,3.0,0.816496580927726,12,727.5074999999999,2910.0299999999997,4
agent_5,qwen3.5:9b,4.4,3.4351128074635335,22,810.0,4050.0,5
