agent_id,model_name,own_followed_decisions,other_followed_decisions,no_recommendation_followed_decisions,total_decisions,own_follow_rate,other_follow_rate,no_recommendation_follow_rate
agent_1,gemma4:e4b,100,39,11,150,0.6666666666666666,0.26,0.07333333333333333
agent_2,nemotron-3-nano:4b,64,64,22,150,0.4266666666666667,0.4266666666666667,0.14666666666666667
agent_3,qwen3.5:4b,72,46,32,150,0.48,0.30666666666666664,0.21333333333333335
agent_4,qwen3:8b,31,18,6,55,0.5636363636363636,0.32727272727272727,0.10909090909090909
agent_5,qwen3.5:9b,11,19,6,36,0.3055555555555556,0.5277777777777778,0.16666666666666666
