agent_id,model_name,job_difficulty,attempted,succeeded,success_rate_pooled,avg_success_rate_per_run,std_success_rate_per_run,n_runs_with_attempt
agent_1,gemma4:e4b,easy,17,10,0.5882352941176471,0.7222222222222222,0.2664350846284844,5
agent_1,gemma4:e4b,hard,90,19,0.2111111111111111,0.17662907268170427,0.10719606543500537,5
agent_1,gemma4:e4b,medium,38,14,0.3684210526315789,0.40738095238095234,0.17799191680798201,5
agent_2,nemotron-3-nano:4b,easy,29,26,0.896551724137931,0.8928571428571429,0.14725377234348788,5
agent_2,nemotron-3-nano:4b,hard,70,16,0.22857142857142856,0.14642857142857144,0.1568991616892057,5
agent_2,nemotron-3-nano:4b,medium,51,18,0.35294117647058826,0.2884981684981685,0.22471454219664433,5
agent_3,qwen3.5:4b,easy,29,25,0.8620689655172413,0.8303030303030303,0.28875464847446297,5
agent_3,qwen3.5:4b,hard,46,13,0.2826086956521739,0.19666666666666668,0.18723128893311491,5
agent_3,qwen3.5:4b,medium,74,38,0.5135135135135135,0.5717184265010352,0.18964733244601908,5
agent_4,qwen3:8b,easy,9,8,0.8888888888888888,0.6666666666666666,0.5773502691896258,3
agent_4,qwen3:8b,hard,103,26,0.2524271844660194,0.2476702645180906,0.04392934461759779,5
agent_4,qwen3:8b,medium,38,25,0.6578947368421053,0.6778388278388279,0.13510104016804925,5
agent_5,qwen3.5:9b,easy,91,80,0.8791208791208791,0.8738467908902692,0.05735688905057482,5
agent_5,qwen3.5:9b,hard,16,2,0.125,0.05714285714285714,0.12777531299998798,5
agent_5,qwen3.5:9b,medium,39,17,0.4358974358974359,0.4197979797979798,0.12548975579020333,5
