agent_id,model_name,avg_donations_received,std_donations_received,total_donations_received,avg_energy_received_per_run,total_energy_received,n_runs
agent_3,qwen3.5:4b,2.0,,2,124.13,124.13,1
agent_5,qwen3.5:9b,5.0,2.7386127875258306,25,2020.0,10100.0,5
