agent_id,model_name,own_followed_decisions,other_followed_decisions,no_recommendation_followed_decisions,total_decisions,own_follow_rate,other_follow_rate,no_recommendation_follow_rate
agent_1,gemma4:e4b,63,31,26,120,0.525,0.25833333333333336,0.21666666666666667
agent_2,nemotron-3-nano:4b,61,66,23,150,0.4066666666666667,0.44,0.15333333333333332
agent_3,qwen3.5:4b,48,51,46,145,0.3310344827586207,0.35172413793103446,0.31724137931034485
agent_4,qwen3:8b,35,45,30,110,0.3181818181818182,0.4090909090909091,0.2727272727272727
agent_5,qwen3.5:9b,8,30,35,73,0.1095890410958904,0.410958904109589,0.4794520547945205
