experiment,agent_id,model_name,easy,medium,hard
comp,agent_1,gemma4:e4b,95% ± 10%,53% ± 16%,19% ± 7%
comp,agent_2,nemotron-3-nano:4b,61% ± 12%,29% ± 19%,4% ± 8%
comp,agent_3,qwen3.5:4b,79% ± 14%,56% ± 21%,18% ± 18%
comp,agent_4,qwen3:8b,67% ± 47%,50% ± 33%,21% ± 19%
comp,agent_5,qwen3.5:9b,67% ± 47%,37% ± 35%,25%
coop,agent_1,gemma4:e4b,42% ± 38%,70% ± 26%,19% ± 18%
coop,agent_2,nemotron-3-nano:4b,75% ± 20%,28% ± 8%,8% ± 11%
coop,agent_3,qwen3.5:4b,71% ± 12%,55% ± 14%,10% ± 17%
coop,agent_4,qwen3:8b,73% ± 43%,39% ± 31%,18% ± 21%
coop,agent_5,qwen3.5:9b,57% ± 25%,41% ± 39%,-
