agent_id,model_name,own_followed_decisions,other_followed_decisions,no_recommendation_followed_decisions,total_decisions,own_follow_rate,other_follow_rate,no_recommendation_follow_rate
agent_1,gemma4:e4b,101,30,19,150,0.6733333333333333,0.2,0.12666666666666668
agent_2,nemotron-3-nano:4b,54,72,24,150,0.36,0.48,0.16
agent_3,qwen3.5:4b,62,60,28,150,0.41333333333333333,0.4,0.18666666666666668
agent_4,qwen3:8b,87,54,9,150,0.58,0.36,0.06
agent_5,qwen3.5:9b,55,72,23,150,0.36666666666666664,0.48,0.15333333333333332
