voter_agent_id,voter_model_name,avg_collision_recommendation_events,total_collision_recommendation_events,avg_rounds_with_collision_recommendation,avg_excess_agents_assigned_to_colliding_jobs,n_runs
agent_1,gemma4:e4b,0.4,2,0.4,1.0,5
agent_2,nemotron-3-nano:4b,4.2,21,4.0,6.2,5
agent_3,qwen3.5:4b,3.0,15,2.8,3.0,5
agent_4,qwen3:8b,3.4,17,3.4,3.4,5
agent_5,qwen3.5:9b,0.4,2,0.4,0.4,5
